Base de datos,Taxonomia,Material,LLRS,Nivel de Ductilidad,Pisos,IM,theta1,beta1,theta2,beta2,theta3,beta3,theta4,beta4,theta5,beta5
OpenQuake,CR LFINF DNO,CR,LFINF,DNO,4,Sa(T) [g] - Telastic = 0.37,0,0,0,0,0,0,3.018,2.066,0,0
OpenQuake,CR LFINF DNO,CR,LFINF,DNO,4,Sa(T) [g] - Telastic = 1.62,0,0,0,0,0,0,0.572,0.2,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,Sa(T) [g] - Telastic = 0.67,0,0,0,0,0,0,0.57396,0.11,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,PGA [g],0,0,0,0,0,0,0.31138,0.068,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,Sa(T) [g] - Telastic = 0.67,0,0,0,0,0,0,0.48,0.094,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,PGA [g],0,0,0,0,0,0,0.358,0.084,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,Sa(T) [g] - Telastic = 0.67,0,0,0,0,0,0,0.515,0.071,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,PGA [g],0,0,0,0,0,0,0.374,0.062,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,PGA [g],0,0,0.17,0.08,0.32,0.17,0.38,0.2,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,4,PGA [g],0,0,0.31,0.17,0.46,0.25,0.54,0.29,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,4,PGA [g],0,0,0.33,0.16,0.49,0.27,0.55,0.28,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,4,PGA [g],0,0,0.23,0.11,0.35,0.2,0.42,0.24,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,4,PGA [g],0,0,0.27,0.15,0.41,0.22,0.49,0.27,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,PGA [g],0,0,0.18,0.09,0.28,0.14,0.32,0.17,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,4,PGA [g],0,0,0.3,0.16,0.43,0.21,0.51,0.25,0,0
OpenQuake,CR LFINF DNO,CR,LFINF,DNO,4,PGA [g],0,0,0.29,0.16,0.39,0.23,0.49,0.27,0,0
OpenQuake,CR LFINF DUC,CR,LFINF,DUC,4,PGA [g],0,0,0.39,0.22,0.49,0.28,0.57,0.32,0,0
OpenQuake,CR LFINF DNO,CR,LFINF,DNO,4,PGA [g],0,0,0.21,0.1,0.34,0.16,0.41,0.19,0,0
OpenQuake,CR LFINF DUC,CR,LFINF,DUC,4,PGA [g],0,0,0.31,0.15,0.42,0.22,0.48,0.24,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,PGA [g],0,0,0.17,0.08,0.32,0.17,0.38,0.2,0,0
